"Kategori","Nama","Khasiat"
"Jamu Kesehatan","cemceman rambut","mengatasi ketombe dan kerontokan rambut"
"Jamu Pasutri","minyak bulus","mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri)"
"Jamu Kesehatan","minyak zaitun","merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh"
"Jamu Kesehatan","lulur rempah","membuat kulit bersih serta tampak lebih cerah"
"Jamu Kesehatan","bedak dingin","masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori"
"Jamu Kesehatan","pegal linu","mengurangi capek, nyeri sendi dan melancarkan peredaran darah"
"Jamu Kesehatan","jamu pembersih darah","mengatasi gatal gatal dan alergi pada kulit"
"Jamu Kesehatan","jamu kencing manis","menurunkan kadar gula dalam darah"
"Jamu Kesehatan","bumbu minuman pokak","minuman herbal dari bahan jahe emprit"
"Jamu Pasutri","1 paket jamu suami istri","mengharmoniskan hubungan intim suami istri"
"Jamu Pasutri","Jamu ma'jun super (plus madu)","menambah stamina saat berhubungan , menambah masa otot dan melancarkan peredaran darah"
"Jamu Pasutri","jamu jantan super","menjaga stamina tubuh agar tetap fit dalam berhubungan"
"Jamu Pasutri","jamu aktivitas","penambah stamina khusus pekerja berat. Suplemen khusus untuk menambah stamina pria dalam berhubungan"
"Jamu Kesehatan","jamu darah tinggi","menurunkan tekanan darah tinggi"
"Jamu Pasutri","1 paket ramuan khusus pria","suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh"
"Jamu Perawatan Kewanitaan","Jamu Tradisional Madura","Buat Kesehatan, Bau Badan, Keputihan"
"Jamu Pasutri","Bom","Untuk kuat berhubungan, dan Pegal - pegal"
"Jamu Kesehatan","Jamu Hitam","Untuk segala macam penyakit"
"Jamu Kesehatan","Jamu Pelintiran darah tinggi","Menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, Menormalkan jantung kembali"
"Jamu Pasutri","Empot-empot Super","1.Memulihkan elastisitas organ intim wanita; 2. Mengencangkan otot² miss V; 3. Mengencangkan payudara; 4. Mengencangkan seluruh kulit shg tampak lebih muda; 5. Menambah gairah dan semangat dalam berhubungan suami istri; 6. Menghilangkan gatal² di miss V"
"Jamu Kesehatan","Jamu selokarang","Menurunkan pusing, panas dalam sakit gigi tenggorokan"
"Jamu Perawatan Kewanitaan","Jamu Bengkes","Awet Muda Wajah Berseri"
"Jamu Pasutri","Empot Ayam Super","1.Melegitkan dan menghaluskan vagina; 2. Mengencangkan otot kendor setelah melahirkan; 3. Menghilangkan bau serta gatal²; 4. Mengatasi masalah² ibu yg ikut bermacam² KB; 5. Utk wanita frigid dan suami istri selalu harmonis; "
"Jamu Perawatan Kewanitaan","Jamu Delima Putih","Mengatasi keputihan/pektay"
"Jamu Kesehatan","Sariawan Sekalor","Menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeyen, demam,kolesterol dan mendetox darah."
"Jamu Kesehatan","Galian Singset ( Susut Perut)","Melangsingkan badan, mengecilkan dan mengencangkan perut kendur,memadatkan tubuh,melancarkan BAB, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit."
"Jamu Pasutri","Sehat Laki-laki Perkasa","Menambah stamina dan juga menambah hormon, Menghilangkan capek/letih/encok, Menjaga tubuh tetap perkasa, Tidak mudah masuk angin, Mengentalkan sperma, Mencegah ejakulasi dini."
"Jamu Pasutri","Sari Rapet Empot-Empot","Mengharumkan bagian kewanitaan, Menyembuhkan keputihan/gatal disebabkan bakteri, Merapatkan vagina,Mengencangkan otot rahim, Menambah keharmonisan rumah tangga."
"Jamu Kesehatan","Pluntur(Pelancar Darah)","Melancarkan darah, menghilangkan pegel linu, menjaga stamina tubuh, mengurangi angka kelahiran."
"Jamu Pasutri","Strong","Menambah stamina tubuh, Menghilangkan capek/letih/encok, Menjaga tubuh tetap perkasa,  Mengentalkan sperma, Mencegah ejakulasi dini, Tahan lama."
"Jamu Perawatan Kewanitaan","Seger Montok","Mengencangkan dan memontokkan payudara, Memadatkan tubuh, Mencerahkan wajah, Memberi nafsu makan, Menyehatkan badan."
"Jamu Pasutri","Rapet Wangi Spesial","Mengharumkan bagian kewanitaan, Menyembuhkan keputihan/Gatal disebabkan bakteri, merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga."
"Jamu Kesehatan","Tolak Angin","Menyembuhkan demam,pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh."
"Jamu Perawatan Kewanitaan","Subur Kandungan","Diramu dari bahan jamu berupa tumbuh-tumbuhan dan akar yang berkhasiat tinggi untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. Jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan."
"Jamu Perawatan Kewanitaan","Sehat Wanita","memadatkan tubuh, mengencangkan payudara yang kendor, menghilangkan bau badan, menyegarkan tubuh, menghilangkan letih, lesu & Capek, Mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan, Membersihkan darah nifas, Merapatkankan kewanitaan, aman di konsumsi baik remaja perempuan maupun ibu,tidak disarankan mengkonsumsi untuk ibu hamil."
"Jamu Pasutri","Sehat Laki-laki ( Helbeh)","Mengatasi lemah syahwat,Memperbaiki kualitas sperma,menambah / Meningkatkan stamina (Pria & wanita)"
"Jamu Perawatan Kewanitaan","Natural Lulur Sari temugiring","Menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh."
"Jamu Pasutri","Empot Sari Rapet","mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar."
"Jamu Perawatan Kewanitaan","Awet Muda","membantu memelihara kecantikan"
"Jamu Pasutri","Ma'jun","menyembuhkan sakit pinggang, pegel linu, encok dan rematik, menghilangkan rasa lelah sehingga menambhan setamina dan syahwat"
"Jamu Kesehatan","Sale Karang","Untuk sakit gigi, gusi bengkak dan gusi berdarah"
"Jamu Kesehatan","Ibu Hamil","biar tidak mudah capek"
"Jamu Kesehatan","Diabet","menstabilkan kadar gula"
"Jamu Kesehatan","Nafsu Makan","Untuk menambah nafsu makan"
"Jamu Pasutri","Sehat Pria","Untuk menambah tenaga lelaki saat berhubungan intim"
"Jamu Perawatan Kewanitaan","Sehat Wanita","Untuk menambah setamina perempuan dan menjaga organ kewanitaan"
"Jamu Kesehatan","Nafsu Makan","menambah nafsu makan"
"Jamu Kesehatan","Gatal-gatal","untuk menyembuhkan gatal-gatar dan alergi"
"Jamu Perawatan Kewanitaan","Ibu Melahirkan","memperlancar ASI"
"Jamu Kesehatan","Jamu Sakit Pinggang","meredakan nyeri pinggang dan menambah stamina"
"Jamu Kesehatan","Jaselang","Menambah stamina, pegal linu, capek-capek, mengahangatkan badan dll"
"Jamu Pasutri","Macho","Menambah stamina pria dan ereksi, meningkatkan libido, mengobati pegal linu, capek-capek, dan menghangatkan badan"
"Jamu Kesehatan","Kusir","menghilangkan bau badan, sakit kepala dll"
"Jamu Perawatan Kewanitaan","Sarpet Manjakani","mencegah keputihan, menghilangkan bau  badan, meraptkan vagina dll"
"Jamu Kesehatan","Jamu Sondhep","meredakan nyeri otot bagian bahu, otot piggang, dan memperlancar peredaran darah"
"Jamu Kesehatan","Sale Karang","sakit gigi, gusi bengkak dan gusi berdarah"
"Jamu Kesehatan","Daun sirih","menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang"
"Jamu Pasutri","Kuda Hitam","Untuk meningkatkan kekuatan pada pria saat berhubungan"
"Jamu Pasutri","Jahe Merah Plus","Untuk menambah stamina tubuh Pria dan wanita saat berhubungan"
"Jamu Kesehatan","ekstrak jahe","untuk mengobati gejala masuk angin"
"Jamu Kesehatan","ekstrak temulawak","untuk mengobati penyakit asam lambung dan menambah nafsu makan"
"Jamu Kesehatan","ektrak kunyit","untuk mengobati penyakit asam lambung "
"Jamu Pasutri","kopi lake'","Untuk meningkatkan kekuatan pada pria"
"Jamu Kesehatan","wedang jahe merah","Menambah stamina tubuh"
"Jamu Kesehatan","kunyit asam madu","untuk merawat kesehatan lambung, dan mengobati panas dalam"
"Jamu Perawatan Kewanitaan","manjakani","untuk merawat kesehatan wanita seperti mempelancar haid dan keputihan"
"Jamu Pasutri","kuda hitam cair","Untuk meningkatkan kekuatan pada pria saat berhubungan"
"Jamu Kesehatan","ETABARI","untuk penderita kencing manis (Diabetes)"
"Jamu Perawatan Kewanitaan","Subur Kandungan","menyuburkan kandungan, menguatkan kandungan yang lemah"
"Jamu Kesehatan","TOLAK AMBEYEN","Menyembuhkan ambeyen baru atau sudah lama, menjaga kesehatan"
"Jamu Kesehatan","TOLAK BATUK/ASMA","membantu mengobati batuk yang masih baru maupun yang sudah lama, membantu mengobati penyakit alergi pernapasan bagian atas dan penyakit asma, membantu menurunkan panas demam disebabkan flu dan radang tenggorokan."
"Jamu Kesehatan","Susut perut Tresna","membantu mengurangi lemak tubuh terutama di bagian perut dan membantu menurunkan berat badan"
"Jamu Pasutri","PANYAMAN EMPOT-EMPOT","membantu merapatkan organ kewanitaan, mengencangkan otot-otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran-getaran apabila ada sentuhan"
"Jamu Pasutri","masker v","membantu para wanita mengatasi frigit dan agar mempunyai gairah melayani pasangan"
"Jamu Kesehatan","LAMSAM","untuk menurunkan/menormalkan tekanan darah tinggi(hipertensi), dan melancarkan peredangan darah dalam tubuh"
"Jamu Kesehatan","lulur wangi","untuk membersihkan mengatasi jerawat dan mengangkat komedo"
"Jamu Kesehatan","PETODHU","untuk kesehatan tulang untuk pria dan wanita"
"Jamu Perawatan Kewanitaan","GALIAN PUTRI","menjaga agar tubuh tetap segar, sehat, lincah dan tidak pucat, mengatasi bau ketiak dan bau badan yang kurang sedap, membantu mengatasu penyakur keputihan, menjaga organ kewanitaan sehingga pakaian dalan tetap bersih dari noa\da, melancarkan haid"
"Jamu Pasutri","GALIAN RAPET","membantu merapatkan organ kewanitaan biar kencang, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan"
"Jamu Perawatan Kewanitaan","lulur ayu","memelihara dan kecantikan wajah dan anggota badan, membersihkan dan menghaluskan kulit"
"Jamu Kesehatan","PAS JUDHU","membantu mengatasi asam urat, kolestrol, reumatik"
"Jamu Kesehatan","SEHAT L.M","memperlancar peredaran darah, menambah tenaga serta meningkatkan daya tahan tubuh terhadap penyakut, membantu mengatasi gejala penuaan, nyeri otot,nyeri sendi,pegal-pegal, rabun mata, encegah masuk angin, pusing dan maag"
"Jamu Pasutri","GALIAN RAPET","membantu merapatkan organ kewanitaan, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan"
"Jamu Perawatan Kewanitaan","cream montok","membantu membesarkan payudara"
"Jamu Perawatan Kewanitaan","GALIAN MONTOK","membantu mengobati buah dada yang kecil supaya jadi montok dan besar, buah dada menjadi padat berisi"
"Jamu Kesehatan","BERSIH JERAWAT","membantu mengatasi / membersihkan jerawat, mencegah timbulnya jerawat, memelihara wajah agar tetap halus"
"Jamu Perawatan Kewanitaan","AWET AYU","mengandung formula 'anti aging' yang berguna untuk menghambat proses penuaan seperti mengurangi keriput, memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata, membantu mengatasi penyakit keputihan, menghilangkan bau badan, merapatkan vagina, menjaga organ kewanitaan tetap bersih, mengurangi dan menghilangkan rasa sakit serta menjelang haid"
"Jamu Pasutri","PANYAMAN","untuk mnegatasi kurang gairah, mengencangkan otot-otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran-getaran apabila ada sentuhan"
"Jamu Pasutri","JAMU PERKASA","mencegah ejakulasi dini, menambah daya tahan lama pria, menambah tenaga dan gairah keperkasaan pria, menambah kesehatan dan kebugaran"
"Jamu Kesehatan","peluntur &pelangsing","mengurangi lemak dalam tubuh terutama di perut yang gendut, mengencangkan otot-otot yang kendor, memelihara tubuh agar tetap langsing padat dan ideal secara alami"
"Jamu Kesehatan","BEDAK SARI","pengharum tubuh"
"Jamu Kesehatan","HABBATUS SAUDA","menjaga stamina, memperkuat daya kosentrasi, anti bakteri, mengatasi infeksi, menghangatkan dan melegakan saluran pernapasan, meringankan gejala batuk pilek, menurunkan demam, membantu mempercepat penyembuhan penyakit, membantu mengatasu maag, mengeluarkan masuk angin dan kembung"
"Jamu Kesehatan","SELEDRI MIX","untuk mengatasi asam urat"
"Jamu Kesehatan","KUNYIT ASEM","meningkatkan data tahan tubuh, menjaga stamina, menghilangkan bau badan, melancarkan datang bulan, menghaluskan kulit, mencegah penuaan dini, mencegah diare"
"Jamu Kesehatan","TEMU LAWAK","mengatasi maag, mengatasi radang sendi, menghilangkan bau badan, mengatasi diare, mengatasi kolesterol, melancarkan pencernaan, mencegah penuaan dini, anti kanker, menyehatkan liver dan ginjal"
"Jamu Kesehatan","BERAS KENCUR","mengatasi batuk pilek, meredakan hidung tersumbat, menambah nafsu makan, mengatasi sakit maag, meningkatkan imun tubuh"
"Jamu Kesehatan","SIRIH PINANG","menjaga kesehatan gigi, mencegah sariawan, menghilangkan bau mulut, menghilangkan bau badan, mengatasi keputihan, melancarkan pencernaan, mencegah gusi berdarah"
"Jamu Kesehatan","POKA'","mengatasi masuk angin,mual, pusing, meredakan nyeri sendi, meningkatkan imun tubuh, mencegah penuaan dini, anti kanker, mencegah kolesterol"
"Jamu Kesehatan","BUNGA TELANG","menyehatkan mata, menyehatkan otak, menghaluskan kulit, melancarkan pencernaan, mencegah penuaan dini"
"Jamu Kesehatan","jahe merah instant","untuk mengobati masuk angin, pusing,dan mual"
"Jamu Perawatan Kewanitaan","Empot wangi","membantu mengurangi lendir yang berlebihan pada daerah kewanitaan"
"Jamu Perawatan Kewanitaan","Galian singset ++","mengurangi kelebihan lemak (kolestrol) dalam tubuh, mengecilkan perut, menjaga bentuk tubuh yang ideal, menjaga penampilan selalu awet muda, membantu mengurangi lemak di tubuh, melangsingkan badan, membuat tampil seksi dan percaya diri, menormalkan BAB yang tidak lancar"
"Jamu Perawatan Kewanitaan","asi booster","melancarkan asi, menyegarkan badan muka tidak pucat, menyehatkan ibu dan bayi yang dilahirkan, menuntaskan sisa darah, meningkatkan kualitas nutrisi dalam asi"
"Jamu Perawatan Kewanitaan","gadis remaja","menghilangkan bau badan yang kurang sedap, mencegah tumbuhnya jerawat, menyembuhkan keputihan, menjaga bentuk tubuh tetap ideal"
"Jamu Pasutri","empot-empot","menambah kemesraan dan keharmonisan keluarga, kembali muda bagaikan gadis remaja, membuat suami makin sayang sama istri, kenikmatan dan kepuasan selalu menjelma"
"Jamu Pasutri","sehat lelaki","menambah semangat stamina saat berhubungan dan kesehatan, menguatkan dan menghangatkan badan, pegal linu otot kaku dan lesu"
"Jamu Pasutri","rapet harum asmara","merapatkan dan melenturkan miss v, mengatasi bau tak sedap, serta gatal-gatal disekitar organ intim, mengatasi cairan berlebih, mengaharumkan area vagina, menjaga keharmonisan hubungan suami istri, menyembuhkan keputihan, serta gejalanya"
"Jamu Perawatan Kewanitaan","feminia","menjaga miss v tetap keset elastis, menambah libido, menghilangkan bau badann dan miss v yang kurang sedap, menyembuhkan keputihan, menjaga payudara tetap kenyal dan montok, melindungi rahim dari berbagai virus, menormalkan hormon estrogen, menghangatkan badan, mengurangi pegel-pegel/linu"
"Jamu Perawatan Kewanitaan","awet muda","memulihkan elastisitas organ intim wanita( kencangkan otot miss v), menghilangkan gatal-gatal, keputihan dan bau kurang menyenangkan, mencegah penuaan dini, menstabilkan PH asam dan mengurangi cairan( basah) berlebihan, meningkatkan hormon estrogen, peremajaan tubuh usai melahirkan/haid, mencegah kanker servix dan kanker payudara"
"Jamu Pasutri","jakiat","memperbaiki stamina pria, meningkatkan kebugaran tubuh dalam hubungan pasutri, membantu mengatasi ejakulasi dini, mengentalkan sperma, menambah kejantanan pria"
"Jamu Kesehatan","sirih wangi","menghilangkan bau badan dan mulut, menyembuhkan radang tenggorokan dan gusi, mengatasi keputihan, menyembuhkan jerawat, menghaluskan kulit, melancarkan air seni, penambah tenaga/ stamina, mengurangi keringat berlebih, mengatasi penyakit kulit/gatal-gatal"
"Jamu Perawatan Kewanitaan","Rapet Wangi","membantu mengurangi lendir yang berlebihan pada daerah kewanitaan"
"Jamu Kesehatan","bersih darah","melancarkan peredaran darah di dalam tubuh, membersihkan darah kotor yang ada di dalam tubuh, mengatasi gatal-gatal pada kulit, mengatasi / meringankan bisul, mengobati korengan dan beberapa masalah kulit lainnya, menyembuhkan serta mencegah jerawat"
"Jamu Kesehatan","kencing manis","mengobati kencing manis, menurunkan kadar gula seperti sering merasa haus, sering kencing terutama dimalam hari"
"Jamu Pasutri","sari rapet","menambah gairah hubungan suami istri, mengobati keputihan dan gejalanya seperti berair, berlendir, berbau, merapatkan otot-otot vagina"
"Jamu Perawatan Kewanitaan","delima putih","mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau (keringat) kurang sedap, merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik & awet muda"
"Jamu Pasutri","empot-empot love","mengencangkan organ intim (rapet), mengencangkan kulit, menambah libido, atasi payudaya kendur, membersihkan bakteri dan jamur (keputihan), mengobati kista, mencegah kanker payudaram menguatkan pinggang, melancarkan datang bulan"
"Jamu Perawatan Kewanitaan","manjakani","menormalkan hormon estrogen, mengencangkan wajah dan kulit, mengencangkan payudara, mengencangkan otot-otot kewanitaan (rapet), mencegah osteoporosis (tulang keropos), menyembuhkan keputihan, menguatkan pinggang, melancarkan datang bulan"
"Jamu Kesehatan","gemuk sehat","menambah nafsu makan, menghambat pertumbuhan sek kanker, meningkatkan daya tahan tubuh, menjaga kesehatan liver, memperbaiki jaringan tubuh yang rusak, membantu melawan bakteri dan jamur di tubuh, menyembuhkan penyakit kuning"
"Jamu Perawatan Kewanitaan","oil mahabbah","agar payudaya tetap kencang dan motok setelah melahirkan, merawat kesehatan payudara, menghaluskan kulit payudara"
"Jamu Pasutri","bubuk herbal ajaib","merapatkan dan mengencangkan otot vagina, mengeringkan miss v yang basah, sama-sama meberikan kenikmatan dan kebahagiaan hubungan suami istri"
"Jamu Pasutri","butiran putri delima","merapatkan dan mengencangkan otot vagina, keset/kering bikin wanita percaya diri, sama-sama meberikan kenikmatan dan kebahagiaan hubungan suami-istri"
"Jamu Perawatan Kewanitaan","penyubur kandungan","menguatkan rahim, menambah hormon menyuburkan kandungan"
"Jamu Pasutri","setanggi zahra","bermanfaat sebagai aromatherapy menenangkan  hati dan menambah keintiman suami istri"
"Jamu Kesehatan","timung / mandi uap","melancarkan peredaran darah, mengeluarkan keringat berlebih, membakar lemak, mengharumkan badan, membuat badan segar, harum dan berseri"
"Jamu Pasutri","hormolak","menstabilkan hormon laki-laki yang sangat diperlukan untuk produksi sperma, memberikan suplement tambahan sehingga produksi sperma dapat lebih maksimal, mempercepat produksi sperma dan memperbanyak jumlah cairan sprema, menghangatkan badan, mengurangi ejakulasi dini"
"Jamu Pasutri","lintah hitam papua","melancarkan sirkulasi darah, mengencangkan otot-otot yang kendor, meningkatkan kajantanan pria, mengobati lemah syahwat, ejakulasi dini, memperbesar dan memperpanjang penis."
"Jamu Kesehatan","jamu gemuk sehat","membantu memperbaiki nafsu makan, menambah berat badan, menyelaraskan alat-alat pencernaan tubuh, menghilangkan letih, lesu, lemah dan kurang bersemangat"
"Jamu Perawatan Kewanitaan","jamu sepet madura *empot-empot)","membantu mengurangi lendir yang berlebihan pada daerah kewanitaan, memperkuat otot-otot vagina untuk membuat denyut-denyut istimewa pada vagina, mengeraskan otot vagina, menghilangkan keputihan dan gatal-gatal"
"Jamu Perawatan Kewanitaan","PLUNTUR(TERLAMBAT BULAN)","sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit badan pada waktu datang bulan (dianjurkan untuk keterlambat) yang tidak lebih dari tiga bulan"
"Jamu Kesehatan","Jamu Tradisional Madura","amandel, tekanan darah tinggi, asma, kencing batu, lever, alergi, lemah jantung, kurang nafsu makan, asam urat, pegal linu, kencing manis, ginjal, reumatik, sakit gigi, magh, exsim, kurang darah"
"Jamu Kesehatan","Lulur Bengkoang","mengangkat sel-sel kulit mati, menghilangkan jerawat, flex hitam juga memutihkan kulit"
"Jamu Perawatan Kewanitaan","pintu surga","bermanfaat untuk perawatan kewanitaan dan juga menuntaskan keputihan"
"Jamu Perawatan Kewanitaan","jamu manjakani","merapetkan vagina, bikin keset untuk keputihan dan juga menyehatkan badan"
"Jamu Perawatan Kewanitaan","air cewok","bikin keset, merapetkan, menghilangkan keputihan juga menghilangkan bau daerah v"
"Jamu Perawatan Kewanitaan","jamu melahirkan","ibu dan bayi menjadi sehat dan bugar"
"Jamu Pasutri","sehat lelaki","hubungan suami istri lebih intim, untuk kejantanan lelaki"
"Jamu Pasutri","sehat wanita","untuk keputihan, stamina wanita, hubungan suami istri lebih intim"
"Jamu Kesehatan","salekarang","untuk flu, batuk, sakit gigi, pusing"
"Jamu Kesehatan","Kopi racikan madura","Menjaga organ hati, membantu membersihkan saluran pencernaan, membantu membakar lemak, mencegah penyakit jantung, diabetes"
"Jamu Kesehatan","dupa kemanten","mengharumkan tubuh, baju, juga ruangan. Harumnya lengket sepanjang hari"
"Jamu Kesehatan","galian singset","membantu mengurangi lemak, membuat badan menjadi langsing"
"Jamu Kesehatan","jamu jerawat","membantu mengatasi jerawat, menjaga kulit tetap halus bercahaya"
"Jamu Kesehatan","jamu pelangsing(bobot idaman)","menurunkan berat badan sesuai dengan idaman, menahan bobot badan supaya tidak gemuk berlebihan, mengontrol kadar lemak bagian perut"
"Jamu Kesehatan","jamu pegel linu","sangat berkhasiat menyembuhkan pegel-pegel linu otot-otot anda, menyembuhkan penyakit rheumatic/encok dan sakit pinggang"
"Jamu Perawatan Kewanitaan","jamu nifas (pluntur)","sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit-sakit badan waktu datang bulan"
"Jamu Pasutri","sehat lelaki (perkasa lelaki)","Memperkuat fungsi lelaki serta meningkatkan katahanan kejantanan"
"Jamu Perawatan Kewanitaan","sepet madura(empot-empotan","membuat denyut-denyut istimewa yang khas, memperkuat otot-otot kewanitaan, menghilangkan bau tidak enak gatal-gatal dan keputihan"
"Jamu Perawatan Kewanitaan","sehat perempuan(montok payudaya)","mengencangkan payudara, memperbesar payudara yang kurang ideal, menyehatkan dan memperindah payudara"
"Jamu Perawatan Kewanitaan","sari harum(keputihan)","sangat mujarab dan benar-benar ampuh untuk segala macam keputihan yang lama maupun yang baru. Menghilangkan bau yang tidak enak, gatal-gatal dll"
"Jamu Perawatan Kewanitaan","awet ayu","membuat dan menjaga kulit tubuh perempuan segar halus dan bercahaya, mengencangkan seluruh otot-otot tubuh anda agar tetap singset. Menjaga tubuh tetap sehat dan segar selalu"
"Jamu Kesehatan","SUPER SEHAT BURUNG WALET","Insya Allah sangat ampuh untuk mencegah dan menyembuhkan Reumatik, Asam urat, Tekanan darah tinggi, Asma, Maag, Ginjal, Tipes, Cacingan, Sakit gigi, Lemah syahwat, Gatal-gatal alergi, Paru-paru basah, Kurang nafsu makan, Melancarkan Sirkulasi darah, Jerawat, Bisul, Kudis, Panu, Merawat Ms.V, Mengatasi keputihan, Merawat dan mengencangkan kulit, Mencegah dan mengatasi penyakit menahun, Kelumpuhan/badan mati separuh seperti Stroke, Kanker, Liver, Kencing manis basah/kencing manis kering, Menjaga dan menambah daya tahan tubuh."
"Jamu Pasutri","SUPER KUAT BURUNG WALET","Insyaallah sangat ampuh untuk menambah kepuasan Sex, Tahan keluarnya air sperma, menambah kejantanan, mengencangkan otot dzakar, menguatkan dan mengobati impoten yang menahun, merangsang dan mempercepat hidupnya dzakar, menambah energi baru setelah berhubungan, mengganti sel-sel tubuh yang aus, mengobati lesu, loyo, sakit pinggang, sakit kepala, dan menambah daya tahan tubuh dan menambah vitalitas pria dan wanita."
"Jamu Pasutri","KOPI JANTAN ANTI DIABETES","Insya Allah sangat ampuh untuk mengatasi penyakit diabetes, lemah syahwat, ejakulasi dini, meningkatkan libido, menambah stamina, vitalitas dan meningkatkan daya tahan tubuh pria dan wanita."
"Jamu Pasutri","MADU Ruqyah","Insya Allah dapat Meningkatkan gairah sex pria/wanita, kesulitan mendapatkan keturunan, Gangguan Jin/Psikis, dan kena Sihir/Santet"
"Jamu Pasutri","SUSU SUPER SEHAT GOLD","Mudah lesu/loyo/letih/kurang semangat atau kurang energik, Merawat dan memperkuat otot Mr.P, Menambah stamina pria dan wanita, Merawat dan mengencangkan Ms V, Mengatasi keputihan, Lendir berlebih pada Ms,V, Dan membuat keharmonisan suami istri"
"Jamu Perawatan Kewanitaan","SUBUR KANDUNGAN","dapat menyuburkan kandungan. Baik untuk ibu yang baru keguguran"
"Jamu Perawatan Kewanitaan","SABUN CAIR SIRIH","harum dan keset pembersih daerah khusus kewanitaan"
"Jamu Perawatan Kewanitaan","krim rondo ayu","Khasiat dapat mengencangkan payudara yang turun. Disarankan diminum dengan kapsul montok payudara untuk hasil yang maksimal."
"Jamu Kesehatan","harum rempah spray(perfume)","Dapat menghilangkan bau badan. Bisa digunakan untuk ketiak, leher, kaki, dan rambut."
"Jamu Perawatan Kewanitaan","virginity spray","dapat membuat wangi bagian bawah (Vagina)"
